Table with row headers in column A and column headers in row 4,,,,,,,,,,,
"CORE BASED STATISTICAL AREAS (CBSAs) AND COMBINED STATISTICAL AREAS (CSAs), ",,,,,,,,,,,
DECEMBER 2009,,,,,,,,,,,
CBSA Code,Metro Division Code,CSA Code,CBSA Title,Level of CBSA,"Status, 1=metro 2=micro",Metropolitan Division Title,CSA Title,Component Name,State,FIPS,County Status
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",DeKalb County,Georgia,13089,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Douglas County,Georgia,13097,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Fayette County,Georgia,13113,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Forsyth County,Georgia,13117,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Fulton County,Georgia,13121,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Gwinnett County,Georgia,13135,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Haralson County,Georgia,13143,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Heard County,Georgia,13149,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Henry County,Georgia,13151,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Jasper County,Georgia,13159,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Lamar County,Georgia,13171,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Meriwether County,Georgia,13199,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Newton County,Georgia,13217,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Paulding County,Georgia,13223,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Pickens County,Georgia,13227,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Pike County,Georgia,13231,Outlying
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Rockdale County,Georgia,13247,Central
12060,,122,"Atlanta-Sandy Springs-Marietta, GA",Metropolitan Statistical Area,1,,"Atlanta-Sandy Springs-Gainesville, GA-AL",Spalding County,Georgia,13255,Central
